country,birth,death,code,region,lat,long,id
Afghanistan,34.1,7.7,AFG,Asia,33,65,36
Albania,12.9,9.4,ALB,Europe,41,20,151
Algeria,24.3,5.7,ALG,Africa,28,3,71
Andorra,8.9,8.4,AND,Europe,42.5,1.6,199
Angola,44.1,13.9,AGO,Africa,-12.5,18.5,5
Antigua and Barbuda,16.5,6.8,ATG,America,17.05,-61.8,123
Argentina,16.8,7.6,ARG,America,-34,-64,120
Armenia,13.7,12.6,ARM,Europe,40,45,145
Australia,13.2,6.4,AUS,Oceania,-27,133,149
Austria,9.5,9,AUT,Europe,47.3333,13.3333,193
Azerbaijan,17.8,6.3,AZE,Europe,40.5,47.5,114
Bahrain,15.2,2.2,BHR,Asia,26,50.55,131
Bangladesh,20,5.7,BGD,Asia,24,90,101
Barbados,12.7,6.4,BRB,America,13.1667,-59.5333,152
Belarus,11,13.5,BLR,Europe,53,28,170
Belgium,11.7,9.9,BEL,Europe,50.8333,4,160
Belize,23.4,4,BLZ,America,17.25,-88.75,77
Benin,36.4,9.6,BEN,Africa,9.5,2.25,25
Bermuda,10.4,8.6,BMU,America,32.303553,-64.762289,181
Bhutan,19.6,6.5,BTN,Asia,27.5,90.5,104
Bolivia,25.7,7,BOL,America,-17,-65,65
Bosnia and Herzegovina,9,9.4,BIH,Europe,44,18,198
Botswana,23.6,7.2,BVA,Africa,-22,24,74
Brazil,14.9,6.1,BRA,America,-10,-55,134
Brunei,15.5,3.6,BRN,Asia,4.5,114.6667,126
Bulgaria,9.6,14.2,BUL,Europe,43,25,191
Burkina Faso,40.9,9.5,BFA,Africa,13,-2,13
Burundi,44.7,11.1,BUR,Africa,-3.5,30,4
Cambodia,25.7,5.7,CHM,Asia,13,105,66
Cameroon,37.3,10.8,CMR,Africa,6,12,20
Canada,11.3,7.2,CAN,America,59,-114,165
Cape Verde,20.1,5.2,CPV,Africa,16,-24,99
Central African Republic,34.2,14,CAF,Africa,7,21,35
Chad,45.9,13.6,TCD,Africa,15,19,3
Chile,13.9,5.4,CHL,America,-30,-71,142
China,13.3,7.2,CHN,Asia,35,105,147
Colombia,18.8,4.2,COL,America,4,-72,108
Comoros,35.2,8.2,COM,Africa,-12.1667,44.25,31
Cook Islands,14.9,5,COK,Asia,-21.2333,-159.7667,135
Costa Rica,15.1,4.4,CRI,America,10,-84,132
Croatia,9.5,11.1,HRV,Europe,45.1667,15.5,194
Cuba,9.5,8.5,CUB,America,21.5,-80,195
Cyprus,11.5,5.5,CYP,Europe,35,33,163
Czech Republic,11.1,10,CZE,Europe,49.75,15.5,169
Democratic Republic of the Congo,42.7,13.7,COD,Africa,0,25,10
Denmark,11.3,9.6,DNK,Europe,56,10,166
Djibouti,27.5,8.8,DJI,Africa,11.5,43,54
Dominica,15.6,7.2,DMA,America,15.4167,-61.3333,125
Dominican Republic,20.8,5.9,DOM,America,19,-70.6667,89
East Timor,35.8,6.28,TLS,Asia,-8.55,125.5167,28
Ecuador,20.8,5.3,ECU,America,-2,-77.5,90
Egypt,23.2,6.4,EGY,Africa,27,30,79
