id,country,birth,region,death,GDP,yearGDP
12,Afghanistan                                        ,37.9,Asia,13.4,2000.00,2017
149,Albania                                            ,13.2,Europe,6.8,12500.00,2017
69,Algeria                                            ,22.2,Africa,4.3,15200.00,2017
82,American Samoa                                     ,19.6,America,5.9,11200.00,2016
224,Andorra                                            ,7.5,Europe,7.3,49900.00,2015
1,Angola                                             ,44.19,Africa,9.2,6800.00,2017
157,Anguilla                                           ,12.5,America,4.6,12200.00,2008
118,Antigua and Barbuda                                ,15.7,America,5.7,26400.00,2017
110,Argentina                                          ,16.7,America,7.5,20900.00,2017
154,Armenia                                            ,12.9,Asia,9.4,9500.00,2017
159,Aruba                                              ,12.4,America,8.4,37500.00,2017
165,Australia                                          ,12.1,Oceania,7.3,50400.00,2017
201,Austria                                            ,9.5,Europe,9.6,50000.00,2017
116,Azerbaijan                                         ,15.8,Asia,7.1,17500.00,2017
125,"Bahamas, The                                       ",15.3,America,7.2,32400.00,2017
145,Bahrain                                            ,13.3,Asia,2.8,49000.00,2017
89,Bangladesh                                         ,18.8,Asia,5.4,4200.00,2017
169,Barbados                                           ,11.7,America,8.6,18600.00,2017
191,Belarus                                            ,10.3,Europe,13.2,18900.00,2017
175,Belgium                                            ,11.3,Europe,9.7,46600.00,2017
53,Belize                                             ,24,America,6,8300.00,2017
21,Benin                                              ,35,Africa,7.9,2300.00,2017
173,Bermuda                                            ,11.3,America,8.6,99400.00,2016
107,Bhutan                                             ,17.3,Asia,6.5,9000.00,2017
73,Bolivia                                            ,22,America,6.4,7600.00,2017
211,Bosnia and Herzegovina                             ,8.8,Europe,10,12800.00,2017
71,Botswana                                           ,22.1,Africa,9.6,17000.00,2017
136,Brazil                                             ,14.1,America,6.7,15600.00,2017
177,British Virgin Islands                             ,11.1,America,5.1,34200.00,2017
108,Brunei                                             ,17,Asia,3.6,78900.00,2017
212,Bulgaria                                           ,8.7,Europe,14.5,21800.00,2017
7,Burkina Faso                                       ,41.2,Africa,11.2,1900.00,2017
97,Burma                                              ,18.1,Asia,7.4,6300.00,2017
6,Burundi                                            ,41.3,Africa,8.8,700.00,2017
79,Cabo Verde                                         ,20,Africa,6,7000.00,2017
67,Cambodia                                           ,23,Asia,7.5,4000.00,2017
19,Cameroon                                           ,35.4,Africa,9.6,3700.00,2017
190,Canada                                             ,10.3,America,8.7,48400.00,2017
168,Cayman Islands                                     ,12,America,5.8,43800.00,2004
23,Central African Republic                           ,34.3,Africa,13.2,700.00,2017
17,Chad                                               ,35.6,Africa,13.8,2300.00,2017
143,Chile                                              ,13.6,America,6.2,24600.00,2017
161,China                                              ,12.3,Asia,7.8,16700.00,2017
114,Colombia                                           ,16.1,America,5.5,14400.00,2017
48,Comoros                                            ,26.1,Africa,7.2,1600.00,2017
26,"Congo, Democratic Republic of the                  ",33.5,Africa,9.6,800.00,2017
22,"Congo, Republic of the                             ",34.4,Africa,9.5,6800.00,2017
138,Cook Islands                                       ,14,Oceania,8.4,16700.00,2016
120,Costa Rica                                         ,15.5,America,4.7,16900.00,2017
45,Cote d'Ivoire                                      ,27.7,Africa,9.4,3900.00,2017
210,Croatia                                            ,8.9,Europe,12.2,24700.00,2017
184,Cuba                                               ,10.7,America,8.7,12300.00,2016
140,Curacao                                            ,13.7,America,8.4,15000.00,2004
176,Cyprus                                             ,11.3,Europe,6.8,37200.00,2017
203,Czechia                                            ,9.3,Europe,10.5,35500.00,2017
186,Denmark                                            ,10.5,Europe,10.3,50100.00,2017
64,Djibouti                                           ,23.4,Africa,7.5,3600.00,2017
127,Dominica                                           ,15.1,America,7.9,11000.00,2017
92,Dominican Republic                                 ,18.4,America,4.7,17000.00,2017
102,Ecuador                                            ,17.9,America,5.1,11500.00,2017
40,Egypt                                              ,29.6,Africa,4.6,12700.00,2017
112,El Salvador                                        ,16.2,America,5.8,8000.00,2017
32,Equatorial Guinea                                  ,32.2,Africa,7.8,37400.00,2017
39,Eritrea                                            ,29.6,Africa,7.2,1600.00,2017
193,Estonia                                            ,10.1,Europe,12.6,31700.00,2017
14,Ethiopia                                           ,36.5,Africa,7.7,2200.00,2017
181,Falkland Islands (Islas Malvinas)                  ,10.9,America,4.9,70800.00,2015
134,Faroe Islands                                      ,14.3,Europe,8.8,40000.00,2014
91,Fiji                                               ,18.6,Oceania,6.1,9800.00,2017
185,Finland                                            ,10.7,Europe,10,44500.00,2017
163,France                                             ,12.2,Europe,9.3,44100.00,2017
131,French Polynesia                                   ,14.8,Oceania,5.2,17000.00,2015
24,Gabon                                              ,34.2,Africa,13,18100.00,2017
41,"Gambia, The                                        ",29.4,Africa,7,2600.00,2017
34,Gaza Strip                                         ,31.4,Africa,3.1,4300.00,2014
162,Georgia                                            ,12.3,Europe,10.9,10700.00,2017
213,Germany                                            ,8.6,Europe,11.7,50800.00,2017
36,Ghana                                              ,30.5,Africa,7,4700.00,2017
139,Gibraltar                                          ,14,Europe,8.5,61700.00,2014
218,Greece                                             ,8.4,Europe,11.3,27800.00,2017
133,Greenland                                          ,14.4,America,8.7,41800.00,2015
121,Grenada                                            ,15.5,America,8.2,15100.00,2017
81,Guam                                               ,19.7,Oceania,6,35600.00,2016
52,Guatemala                                          ,24.1,America,4.7,8200.00,2017
196,Guernsey                                           ,9.8,Europe,9,52500.00,2014
20,Guinea                                             ,35.1,Africa,9,2200.00,2017
30,Guinea-Bissau                                      ,32.5,Africa,13.9,1900.00,2017
123,Guyana                                             ,15.4,America,7.4,8100.00,2017
66,Haiti                                              ,23,America,7.6,1800.00,2017
68,Honduras                                           ,22.4,America,5.3,5600.00,2017
208,Hong Kong                                          ,8.9,Asia,7.4,61500.00,2017
205,Hungary                                            ,9,Europe,12.8,29600.00,2017
141,Iceland                                            ,13.7,Europe,6.4,52200.00,2017
87,India                                              ,19,Asia,7.3,7200.00,2017
113,Indonesia                                          ,16.2,Asia,6.5,12400.00,2017
101,Iran                                               ,17.9,Asia,5.3,20100.00,2017
37,Iraq                                               ,30.4,Asia,3.8,16700.00,2017
137,Ireland                                            ,14.1,Europe,6.6,73200.00,2017
180,Isle of Man                                        ,11,Europe,10.2,84600.00,2014
96,Israel                                             ,18.1,Asia,5.2,36400.00,2017
215,Italy                                              ,8.6,Europe,10.4,38200.00,2017
99,Jamaica                                            ,17.9,America,6.8,9200.00,2017
223,Japan                                              ,7.7,Asia,9.8,42900.00,2017
160,Jersey                                             ,12.4,Europe,7.8,56600.00,2016
58,Jordan                                             ,23.9,Asia,3.4,9200.00,2017
98,Kazakhstan                                         ,18.1,Asia,8.1,26300.00,2017
59,Kenya                                              ,23.9,Africa,6.7,3500.00,2017
76,Kiribati                                           ,21.2,Oceania,7,2000.00,2017
132,"Korea, North                                       ",14.6,Asia,9.3,1700.00,2015
220,"Korea, South                                       ",8.3,Asia,6,39500.00,2017
84,Kuwait                                             ,19.2,Asia,2.2,65800.00,2017
72,Kyrgyzstan                                         ,22.1,Asia,6.5,3700.00,2017
63,Laos                                               ,23.6,Asia,7.4,7400.00,2017
198,Latvia                                             ,9.7,Europe,14.5,27700.00,2017
135,Lebanon                                            ,14.3,Asia,5,19600.00,2017
50,Lesotho                                            ,24.6,Africa,15,3300.00,2017
10,Liberia                                            ,38.3,Africa,7.6,1300.00,2017
106,Libya                                              ,17.5,Africa,3.6,9600.00,2017
188,Liechtenstein                                      ,10.4,Europe,7.4,139100.00,2009
195,Lithuania                                          ,9.9,Europe,14.6,32400.00,2017
170,Luxembourg                                         ,11.5,Europe,7.3,105100.00,2017
216,Macau                                              ,8.6,Asia,4.5,110000.00,2017
172,Macedonia                                          ,11.4,Europe,9.2,14900.00,2017
33,Madagascar                                         ,31.6,Africa,6.5,1600.00,2017
8,Malawi                                             ,41,Africa,7.9,1200.00,2017
85,Malaysia                                           ,19.1,Asia,5.1,29100.00,2017
115,Maldives                                           ,16.1,Asia,4,19200.00,2017
3,Mali                                               ,43.9,Africa,9.8,2200.00,2017
192,Malta                                              ,10.1,Europe,9.4,41900.00,2017
51,Marshall Islands                                   ,24.4,Oceania,4.2,3600.00,2017
38,Mauritania                                         ,30.4,Africa,7.9,4500.00,2017
153,Mauritius                                          ,13,Africa,7.1,22300.00,2017
94,Mexico                                             ,18.3,America,5.3,19900.00,2017
80,"Micronesia, Federated States of                    ",20,Oceania,4.2,3400.00,2017
171,Moldova                                            ,11.5,Europe,12.6,6700.00,2017
